Symbol,Current,1W,1M,3M,1Y
XU030,15128.0,6.525460401917711,23.7605982152544,26.690613815665397,44.50281784315598
XU100,13838.2998046875,6.5082669242231495,22.881497177884828,26.12951560577405,45.03656461218605
XBANK,20019.900390625,10.543057290660114,21.039301031590085,34.40323768151478,64.77012780701835
XUSIN,16798.80078125,4.735900647711196,19.879264756038122,17.051765924938408,32.158517339130434
XU050,11984.75,-9999.0,-9999.0,-9999.0,-9999.0
XYUZO,24845.509765625,-9999.0,-9999.0,-9999.0,-9999.0
XUTUM,16831.720703125,-9999.0,-9999.0,-9999.0,-9999.0
XTUMY,59829.9609375,-9999.0,-9999.0,-9999.0,-9999.0
XBLSM,5554.580078125,-9999.0,-9999.0,-9999.0,-9999.0
XTRZM,1857.25,-9999.0,-9999.0,-9999.0,-9999.0
XTCRT,30914.779296875,-9999.0,-9999.0,-9999.0,-9999.0
XILTM,3033.969970703125,-9999.0,-9999.0,-9999.0,-9999.0
XSPOR,2049.260009765625,-9999.0,-9999.0,-9999.0,-9999.0
XSGRT,78821.6875,-9999.0,-9999.0,-9999.0,-9999.0
XFINK,25334.880859375,-9999.0,-9999.0,-9999.0,-9999.0
XHOLD,15564.91015625,-9999.0,-9999.0,-9999.0,-9999.0
XGMYO,6237.83984375,-9999.0,-9999.0,-9999.0,-9999.0
XUTEK,35977.44921875,-9999.0,-9999.0,-9999.0,-9999.0
XUMAL,19519.720703125,-9999.0,-9999.0,-9999.0,-9999.0
XLBNK,17783.470703125,-9999.0,-9999.0,-9999.0,-9999.0
XKOBI,39277.55859375,-9999.0,-9999.0,-9999.0,-9999.0
XINSA,20089.880859375,-9999.0,-9999.0,-9999.0,-9999.0
XELKT,714.1799926757812,-9999.0,-9999.0,-9999.0,-9999.0
XGIDA,14702.669921875,-9999.0,-9999.0,-9999.0,-9999.0
XTEKS,4944.919921875,-9999.0,-9999.0,-9999.0,-9999.0
XKAGT,7640.10986328125,-9999.0,-9999.0,-9999.0,-9999.0
XKMYA,15401.8095703125,-9999.0,-9999.0,-9999.0,-9999.0
XTAST,14945.4599609375,-9999.0,-9999.0,-9999.0,-9999.0
XMANA,22424.390625,-9999.0,-9999.0,-9999.0,-9999.0
XULAS,38746.53125,-9999.0,-9999.0,-9999.0,-9999.0
XMESY,23802.369140625,-9999.0,-9999.0,-9999.0,-9999.0
XUHIZ,12065.51953125,-9999.0,-9999.0,-9999.0,-9999.0
XUSRD,18137.8203125,-9999.0,-9999.0,-9999.0,-9999.0
ISIST,28107.310546875,-9999.0,-9999.0,-9999.0,-9999.0
XAKUR,124038.84375,-9999.0,-9999.0,-9999.0,-9999.0
XU500,16651.44921875,-9999.0,-9999.0,-9999.0,-9999.0
XYLDZ,15440.0595703125,-9999.0,-9999.0,-9999.0,-9999.0
XSDNZ,9956.6396484375,-9999.0,-9999.0,-9999.0,-9999.0
X030S,15468.240234375,-9999.0,-9999.0,-9999.0,-9999.0
X100S,13841.099609375,-9999.0,-9999.0,-9999.0,-9999.0
XSD25,17980.51953125,-9999.0,-9999.0,-9999.0,-9999.0
XMADN,16308.599609375,-9999.0,-9999.0,-9999.0,-9999.0
X10XB,16883.599609375,-9999.0,-9999.0,-9999.0,-9999.0
X100C,13838.2900390625,-9999.0,-9999.0,-9999.0,-9999.0
X030C,15127.98046875,-9999.0,-9999.0,-9999.0,-9999.0
XKTUM,15831.9404296875,-9999.0,-9999.0,-9999.0,-9999.0
XK100,14643.48046875,-9999.0,-9999.0,-9999.0,-9999.0
XK050,14765.6904296875,-9999.0,-9999.0,-9999.0,-9999.0
XK030,14353.849609375,-9999.0,-9999.0,-9999.0,-9999.0
XSRDK,16370.580078125,-9999.0,-9999.0,-9999.0,-9999.0
XSANK,40079.48046875,-9999.0,-9999.0,-9999.0,-9999.0
XSIZM,19845.599609375,-9999.0,-9999.0,-9999.0,-9999.0
XTMTU,15341.240234375,-9999.0,-9999.0,-9999.0,-9999.0
XSBAL,12072.419921875,-9999.0,-9999.0,-9999.0,-9999.0
XKURY,12254.5,-9999.0,-9999.0,-9999.0,-9999.0
XYORT,5190.89013671875,-9999.0,-9999.0,-9999.0,-9999.0
XSADA,42388.94921875,-9999.0,-9999.0,-9999.0,-9999.0
XTM25,17789.669921875,-9999.0,-9999.0,-9999.0,-9999.0
XSANT,13791.490234375,-9999.0,-9999.0,-9999.0,-9999.0
XSBUR,22821.3203125,-9999.0,-9999.0,-9999.0,-9999.0
XSIST,17829.9296875,-9999.0,-9999.0,-9999.0,-9999.0
XSKON,11744.669921875,-9999.0,-9999.0,-9999.0,-9999.0
XSKAY,43999.12109375,-9999.0,-9999.0,-9999.0,-9999.0
XSKOC,36853.30859375,-9999.0,-9999.0,-9999.0,-9999.0
XSTKR,51931.1484375,-9999.0,-9999.0,-9999.0,-9999.0
FTWITURL,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
XTKJS,29851.060546875,-9999.0,-9999.0,-9999.0,-9999.0
TLREF,36.81800079345703,-9999.0,-9999.0,-9999.0,-9999.0
X030EA,30092.2109375,-9999.0,-9999.0,-9999.0,-9999.0
XHARZ,190364.375,-9999.0,-9999.0,-9999.0,-9999.0
